,Duration (in seconds),RecordedDate,ResponseId,Q3,Q1,Q4,Q5,Q5_7_TEXT,Q10,Q11,Q11_4_TEXT,Q14,Q16,Q18,Q19,Q20,Q20_10_TEXT,Q24,Q25,Q47,Q48,Q20#1_1_1,Q20#1_1_2,Q20#1_1_3,Q20#1_1_4,Q20#1_2_1,Q20#1_2_2,Q20#1_2_3,Q20#1_2_4,Q20#1_3_1,Q20#1_3_2,Q20#1_3_3,Q20#1_3_4,Q20#1_4_1,Q20#1_4_2,Q20#1_4_3,Q20#1_4_4,Q20#1_5_1,Q20#1_5_2,Q20#1_5_3,Q20#1_5_4,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#3_1,Q20#3_2,Q20#3_3,Q20#3_4,Q20#3_5,Q29,Q49,Q41#1_1_1,Q41#1_1_2,Q41#1_1_3,Q41#1_1_4,Q41#1_2_1,Q41#1_2_2,Q41#1_2_3,Q41#1_2_4,Q41#1_3_1,Q41#1_3_2,Q41#1_3_3,Q41#1_3_4,Q41#1_4_1,Q41#1_4_2,Q41#1_4_3,Q41#1_4_4,Q41#1_5_1,Q41#1_5_2,Q41#1_5_3,Q41#1_5_4,Q41#2_1,Q41#2_2,Q41#2_3,Q41#2_4,Q41#2_5,Q41#3_1,Q41#3_2,Q41#3_3,Q41#3_4,Q41#3_5,Q30,Q50,Q45#1_1_1,Q45#1_1_2,Q45#1_1_3,Q45#1_1_4,Q45#1_2_1,Q45#1_2_2,Q45#1_2_3,Q45#1_2_4,Q45#1_3_1,Q45#1_3_2,Q45#1_3_3,Q45#1_3_4,Q45#1_4_1,Q45#1_4_2,Q45#1_4_3,Q45#1_4_4,Q45#1_5_1,Q45#1_5_2,Q45#1_5_3,Q45#1_5_4,Q45#2_1,Q45#2_2,Q45#2_3,Q45#2_4,Q45#2_5,Q45#3_1,Q45#3_2,Q45#3_3,Q45#3_4,Q45#3_5,Q46,Q51,Q48#1_1_1,Q48#1_1_2,Q48#1_1_3,Q48#1_1_4,Q48#1_2_1,Q48#1_2_2,Q48#1_2_3,Q48#1_2_4,Q48#1_3_1,Q48#1_3_2,Q48#1_3_3,Q48#1_3_4,Q48#1_4_1,Q48#1_4_2,Q48#1_4_3,Q48#1_4_4,Q48#1_5_1,Q48#1_5_2,Q48#1_5_3,Q48#1_5_4,Q48#2_1,Q48#2_2,Q48#2_3,Q48#2_4,Q48#2_5,Q48#3_1,Q48#3_2,Q48#3_3,Q48#3_4,Q48#3_5,Q49.1,Q52,Q51#1_1_1,Q51#1_1_2,Q51#1_1_3,Q51#1_1_4,Q51#1_2_1,Q51#1_2_2,Q51#1_2_3,Q51#1_2_4,Q51#1_3_1,Q51#1_3_2,Q51#1_3_3,Q51#1_3_4,Q51#1_4_1,Q51#1_4_2,Q51#1_4_3,Q51#1_4_4,Q51#1_5_1,Q51#1_5_2,Q51#1_5_3,Q51#1_5_4,Q51#2_1,Q51#2_2,Q51#2_3,Q51#2_4,Q51#2_5,Q51#3_1,Q51#3_2,Q51#3_3,Q51#3_4,Q51#3_5,Q52.1,Q53,Q54#1_1_1,Q54#1_1_2,Q54#1_1_3,Q54#1_1_4,Q54#1_2_1,Q54#1_2_2,Q54#1_2_3,Q54#1_2_4,Q54#1_3_1,Q54#1_3_2,Q54#1_3_3,Q54#1_3_4,Q54#1_4_1,Q54#1_4_2,Q54#1_4_3,Q54#1_4_4,Q54#1_5_1,Q54#1_5_2,Q54#1_5_3,Q54#1_5_4,Q54#2_1,Q54#2_2,Q54#2_3,Q54#2_4,Q54#2_5,Q54#3_1,Q54#3_2,Q54#3_3,Q54#3_4,Q54#3_5,Q55,Q54,Q57#1_1_1,Q57#1_1_2,Q57#1_1_3,Q57#1_1_4,Q57#1_2_1,Q57#1_2_2,Q57#1_2_3,Q57#1_2_4,Q57#1_3_1,Q57#1_3_2,Q57#1_3_3,Q57#1_3_4,Q57#1_4_1,Q57#1_4_2,Q57#1_4_3,Q57#1_4_4,Q57#1_5_1,Q57#1_5_2,Q57#1_5_3,Q57#1_5_4,Q57#2_1,Q57#2_2,Q57#2_3,Q57#2_4,Q57#2_5,Q57#3_1,Q57#3_2,Q57#3_3,Q57#3_4,Q57#3_5,Q58,Q56
23,2258,2025-09-22 01:43:21,R_88HQeKMOYExgqkB,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,26,Female,,The Netherlands,"Dutch, English",Sometimes,Moderately stressful,"Talk to someone,Listen to music,Practice mindfulness / Meditation,Use social media,Sleep / Nap,Consume food and/or non-alcoholic beverages",,Often,Mainly or exclusively self-selected,It serves as a distraction and as a way to channel my emotions into an external source outside my body. It calms me.,Yes,Golden,HUNTR/X,https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS?si=8kFo1RAKQKu20O6xFuZUag,It's a fun song that energizes me.,Upside Down Kiss,TOMORROW X TOGETHER,https://open.spotify.com/track/6bp3UWuLklGIK8VgkRUKkP?si=rd1fJvOHQNCY1bD3HZX_BA,"A bit of a silly song and it's upbeat, so it makes me happy.",Espresso,Sabrina Carpenter,https://open.spotify.com/track/2LU2CYKUZUc1iAErxJb1dK?si=tbKeq8TyRF2z_8orfMQ5BQ,The arrangement evokes a relaxed and happy vibe. Singing along makes me feel happy.,Grave dancin',Kitty Coen,https://open.spotify.com/track/6F8kkkLvIzATDj3P7PJ8Pi?si=A6_vHTgOQ7mGglKsjW6J1g,The arrangement makes me want to dance along.,Moonlit,Skott,https://open.spotify.com/track/7bYCJEl4oPXccNUPxNPk1y?si=UViZ5C7pR2GNaoFXdCCVcQ,Music by this artist always evokes happy feelings in me.,,,,,,,,,,,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Magic Island,TOMORROW X TOGETHER,https://open.spotify.com/track/5DcLYkS1rnSgRMfhXNvh0d?si=gROArv89QH-Ex7pwCaEM7g,"Because it's soothing, it is also distracting for me. I'd listen to this on repeat.",Dreamer,TOMORROW X TOGETHER,https://open.spotify.com/track/59ScHwQ4PP0TRTJgG07PAW?si=9IZnv3JqQnykRMLkDaJXwA,This song makes me feel seen and gives me hope.,Skipping Stones,TOMORROW X TOGETHER,https://open.spotify.com/track/0bPy1iMfSOO2pevpXLhnoG?si=JddslRnvTtGoUqTGrrgLlw,This song relativizes difficult situations for me.,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,when the party's over,Billie Eilish,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I?si=i-feyKkAQEyuzHFrhH0Xjw,"The song's lyrics and arrangement reveals the negative emotions that I feel, which I can then acknowledge and process by recognizing myself in the song.",Cut My Lip,Twenty One Pilots,https://open.spotify.com/track/6gFtgkh8ShkrJn52Cbdhxy?si=hen0RmHNTeCKooPeHOu1YQ,"The song's lyrics and arrangement reveals the negative emotions that I feel, which I can then acknowledge and process by recognizing myself in the song.",Why Am I Like This?,Orla Gartland,https://open.spotify.com/track/0z29wv0x2IXrpWxNgICET7?si=qiYv3njzS6u1IiP-RXLiIw,"The song's lyrics and arrangement reveals the negative emotions that I feel, which I can then acknowledge and process by recognizing myself in the song.",I'm a little Sad Tonight,Su Lee,https://open.spotify.com/track/1gOicv94VpzO3vjmR7pDje?si=nONFmFzdSxmconc0s7RH2g,This makes me feel less alone,Liability,Lorde,https://open.spotify.com/track/6Kkt27YmFyIFrcX3QXFi2o?si=vfSvh5BzSNW53wGt0ANGYA,"The song's lyrics and arrangement reveals the negative emotions that I feel, which I can then acknowledge and process by recognizing myself in the song. ",,,,,,,,,,,Extremely easy,Yes,Magic Island,TOMORROW X TOGETHER,https://open.spotify.com/track/5DcLYkS1rnSgRMfhXNvh0d?si=iFukgm2LTnS-GXS7a-h0Xw,It is soothing,Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,https://open.spotify.com/track/0f0SbtoKGe41cX5LzlnX6X?si=t7Iquj4LSF-aa9WWc5V6dQ,I can relate to it,,,,,,,,,,,,,,,,,,,,,,,Extremely easy,Yes,Slice of Life,Su Lee,https://open.spotify.com/track/4hAkESdkRqFfAp2oF8Ci25?si=hKfWOa5hRXeyTOeMymxaUQ,I can relate to the lyrics.,Thursday's Child Has Far To Go,TOMORROW X TOGETHER,https://open.spotify.com/track/04CHEoMbrLOiX8co3EG5dO?si=tVwkJs9AR8aCIa7zr_rLSg,I feel strengthened and seen by the hopeful lyrics and it reminds me of good memories with loved ones.,Dear Sputnik,TOMORROW X TOGETHER,https://open.spotify.com/track/7ypFllJwlotXBJfLjsXhvo?si=CrkjLETUSia0nkibupLMjA,This song reminds me how dear all the people I love are to me.,,,,,,,,,,,,,,,,,,,Extremely easy,
25,50,2025-09-22 11:09:41,R_2J9ksqGAQoGbtjX,Yes,Yes,No,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,950,2025-09-22 11:24:16,R_8pJG7O16rICvdio,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,19,Non-binary / third gender,,Netherlands,English,Most of the time,Moderately stressful,"Talk to someone,Listen to music,Use social media,Sleep / Nap",,Always,Mainly or exclusively self-selected,It’s very relaxing and allows me to forget about stressors temporarily ,Yes,Midnight Sun,Zara Larsson,,,Good Graces,Sabrina Carpenter,,,TTYL,Loossemble,,,THIS IS FOR,TWICE,,,Mantra,Jennie,,,,,,,,,,,,,Extremely easy,Yes,Gnarly,KATSEYE,,,Super Graphic Ultra Modern Girl,Chappell Roan,,,bad idea,Ariana Grande,,,This Hell,Rina Sawayama,,,Girl Like Me,PinkPantheress,,,,,,,,,,,,,Somewhat easy,Yes,Abracadabra,Lady Gaga,,,Go,ADÉLA,,,Imagining,Rina Sawayama,,,THAT’S A NO NO,ITZY,,,Too Much,Dove Cameron,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Somewhat easy,Yes,Birthday,Red Velvet,,,DANCING ALONE,KiiiKiii,,,Plot Twist,AtHeart,,,Cursed Romantics,Maude Latour,,,The Hit,aleksiah,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Neither easy nor difficult,Yes,DIM,Yves,,,Ribs,Lorde,,,First Love/Late Spring,Mitski,,,Two Slow Dancers,Mitski,,,Class of 2013 - Audiotree Live Version,Mitski,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1196,2025-09-22 11:28:07,R_2TD9GoZ1onZyXu1,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,23,Female,,Netherlands,"Dutch, English, Welsh",Sometimes,Slightly stressful,"Talk to someone,Exercise / Play sports,Practice mindfulness / Meditation,Sleep / Nap,Other(s):",Cuddle the boifren,Sometimes,Mainly or exclusively self-selected,"Takes my mind off whatever is stressing me out. Sometimes it helps to concentrate. But I don't just listen, I make music as well. It help help to focus on learning something that is inherently different from course work, or to play something that is easy and familiar. ",Yes,Yes,Any Disney song,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Somewhat easy,Yes,Coldcoldcold,Cage the Elephant,,,Do you love me,Contours,,,Winter ,Vivaldi,,,Arabian Nights,eeeeeh Disney?,,,Sweet Child O mine,Guns n Roses,,,Yes,Yes,Yes,Yes,Yes,No,No,There are no lyrics,Yes,No,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Coldcoldcold,Cage the elephant,,,Moonschein,Beethoven,,I play it,Downton abbey,?,,I play it,Amelie (album),Yann Tiersen,,I play it,,,,,Yes,Yes,Yes,Yes,,No,There are no lyrics,There are no lyrics,There are no lyrics,,Somewhat easy,Yes,Hate you,Seann Bowe,https://www.youtube.com/watch?v=TiBPJ6CUeKs&list=RDTiBPJ6CUeKs&start_radio=1,,All too well,Taylor Swift,,,Voila,Emma Kok,,, Hijo de la luna,Karsu,https://www.youtube.com/watch?v=2tMwq5lHbWg&list=RD2tMwq5lHbWg&start_radio=1,,Winter,Vivaldi,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,There are no lyrics,Somewhat easy,Yes,Things without lyrics,,https://www.youtube.com/watch?v=OLr7fuUVws4&list=PLV6pMftb_QTlF4zMNj42GE3A84o4PZOnP,,,,,,,,,,,,,,,,,,No,,,,,Yes,,,,,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,789,2025-09-22 11:35:03,R_8IaQBhL54AJZwWt,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,20,Female,,Netherlands,"Dutch, english",Sometimes,Slightly stressful,"Talk to someone,Listen to music,Play games,Sleep / Nap",,Sometimes,Mainly or exclusively self-selected,Just calming and clearing my mind because it distracts me a little and I can get lost in it,Yes,Again party music,,,,,,,,,,,,,,,,,,,,Yes,,,,,No,,,,,Extremely difficult,Yes,Millshake,Kellis,,Because it reminds me of the katseye dance which is very fun,Any party relared songs like pitbull for example,Multiple,,Sometimes you just have to dance to energize and take the stress away,,,,,,,,,,,,,Yes,Yes,,,,No,No,,,,Extremely difficult,Yes,Again classical music ,,,While writing it makes it easier for me to encapture an (emotional) scene with a classical piece that in my mind fits that sensation ,,,,,,,,,,,,,,,,,Yes,,,,,There are no lyrics,,,,,Somewhat easy,Yes,Danse macabre,Camille Saint saens ,,This is just an example there are many classical pieces I listen to to distract myself because i can het entirely lost in it,,,,,,,,,,,,,,,,,Yes,,,,,There are no lyrics,,,,,Somewhat easy,Yes,I want to know what love is,Foreigner,,Because it makes we sing along really hard which is great to vent,,,,,,,,,,,,,,,,,Yes,,,,,No,,,,,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1312,2025-09-22 11:35:30,R_2e9qeeiYw9MaePm,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,20,Female,,The Netherlands,"Dutch, English, German",Most of the time,Moderately stressful,"Listen to music,Play games,Use social media,Consume food and/or non-alcoholic beverages,Other(s):",Reading,Often,Mainly or exclusively self-selected,"Folk music manages to call me down, and I listen to metal to drown out the stress",Yes,Road to Nowhere,Talking Heads,,,Come on Eileen,Dexys Midnight Runners,,,Mr. Blue Sky,Electric Light Orchestra,,,Soramimi Cake,Oranges & Lemons,,,Raspberry Heaven,Oranges & Lemons,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Sabotage,Beastie Boys,,,Bury the Light,Casey Edwards,,,Pest,Vylet Pony,,,Blind and Frozen,Beast in Black,,,I-E-A-I-A-I-O,System of a Down,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Somewhat easy,Yes,San Cristóbal,Mal Blum,,,Donna Donna,Joan Baez,,,Mykonos,Fleet Foxes,,,Cry For Judas,The Mountain Goats,,,The Hand that Feeds,The Crane Wives,,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Somewhat easy,Yes,PLAY DEAD! PLAY DEAD!,Vylet Pony,,,I'm Your Man,Mitski,,,Hermit the Frog,Marina and the Diamonds,,,Brutus,The Buttress,,,Catharsis,AlicebanD,,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1676,2025-09-22 11:36:40,R_8l46mlZGFZsyKeB,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,22,Female,,Nederland,"Dutch, English",Most of the time,Moderately stressful,"Talk to someone,Listen to music,Use social media,Consume food and/or non-alcoholic beverages",,Often,Mainly or exclusively self-selected,My favourite songs give me a happiness boost ,Yes,Tango,Damiano David ,,,Sapphire ,Ed Sheeran,,,Move,Adam Port,,,Blame ,Calvin Harris,,,COMPLETE MESS,5SOS,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Extremely easy,Yes,On the Floor,"Jennifer Lopez, Pitbull ",,,Love today,MIKA,,,Man in the moon,Coldplay,,,JUMP,BLACKPINK,,,In The Closet,Michael Jackson,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Extremely easy,Yes,Je te laisserai des mots,Patrick Watson,,CRYING,Jacob and the Stone,Emile Mosseri,,,Epiphany,Trent Reznor and Atticus Ross,,,Wicked Game ,Chris Isaak,,,Bitter sweet symphony ,The verve,,,No,No,No,Yes,Yes,Yes,There are no lyrics,No,Yes,Yes,Extremely easy,Yes,Goth (slowed + reverb),Sidewalks and Skeletons,,Takes me to another universe ,Genesis,Grimes,,Makes me daydream,Simpson wave x you look lonely,Mikeeysmind,https://open.spotify.com/track/4U5piExEXw7sQZYb14DpA5?si=cR8lo-isQfeh0-9B7m_P9g,Sci-fi!!,End of line ,Daft Punk ,,Sci-fi!!,Memory Reboot ,"VØJ, Narvent",https://open.spotify.com/track/1A7qPfbcyRVEdcZiwTFhZI?si=mXpX0BibQ0GKjEKO28FR4A,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,There are no lyrics,There are no lyrics,Extremely easy,Yes,Mystery of Love ,Sufjan Stevens ,https://youtu.be/4WTt69YO2VI?si=W3GA-yejd6z3RLXm,It’s very calm,Lost with you,Patrick Watson,https://youtu.be/EwqNIMlmkzs?si=BPREgwvPVhzyvarz,Also very calm,Ma meillure ennemie ft Coldplay,"Stromae, Pomme, Coldplay",https://youtu.be/XbLemOwzdxk?si=J2yeXRgghfVtlNJq,One of my favourite songs ,The last of the Starks ,Ramin Djawadi,https://youtu.be/Izj3IsXi6Gs?si=sycZNYya8zkykWeD,It’s just beautiful,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,There are no lyrics,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,The Subway,Chappel Roan,,,Sit down beside me,Patrick Watson,,,My Girl,Isabel LaRosa,,,Undressed,Sombr ,,,Hot Blooded,New Constellations,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely easy,
31,819,2025-09-22 11:37:50,R_8TFOXwMwo2RtzTg,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,18,Female,,Netherlands,"Dutch, English",Sometimes,Slightly stressful,"Talk to someone,Listen to music,Play games,Use social media,Sleep / Nap,Consume food and/or non-alcoholic beverages",,Often,Mainly or exclusively self-selected,It gives me something to focus on,Yes,Fearless,Taylor Swift,,,You Belong With Me,Taylor Swift,,,Where Do Broken Hearts Go?,One Direction,,,Risk,Gracie Abrams,,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Somewhat easy,Yes,Best Song Ever,One Direction,,,Small Talk,Niall Horan,,,That's So True,Gracie Abrams,,,How Bad Do U Want Me,Lady Gaga,,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Somewhat easy,Yes,Someone You Loved,Lewis Capaldi,,,Visiting Hours,Ed Sheeran,,,How do I say goodbye?,Dean Lewis,,,This is me trying,Taylor Swift,,,,,,,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,,Somewhat easy,Yes,Mine,Taylor Swift,,,Happily,One Direction,,,English Love Affair ,5 Second of Summer,,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Somewhat difficult,Yes,Labour,Paris Paloma,,,The Smallest Man Who Ever Lived,Taylor Swift,,,Who's afraid of little old me?,Taylor Swift,,,Before He Cheats,Carrie Underwood,,,,,,,No,Yes,Yes,No,,Yes,Yes,Yes,Yes,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1259,2025-09-22 11:39:17,R_2HFaNp6YCRpC6NX,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,21,Female,,The netherlands,"English, Dutch",Most of the time,Very stressful,"Listen to music,Practice mindfulness / Meditation,Use social media,Other(s):",Write,Often,Mainly or exclusively self-selected,Calming effect,Yes,Just a cloud away,Pharrel Williams,,,Upside Down,Jack Johnson,,,Per spoor,Guus Meeuwis,,,You belong with me,Taylor Swift,,,The eye color ballad,Naethan Apollo,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely difficult,Yes,All I want for christmas is you,Mariah Carey,,"Banger, nostalgic",Club can't handle me,Flo Rida,,,Flight of the bumblebee,Rimsky Korsakov,,Up tempo,Stick Season,Noah Kahan,,,Gyal you a party animal,Charly Black,,Up tempo,Yes,Yes,No,Yes,Yes,No,Yes,There are no lyrics,Yes,Yes,Somewhat difficult,Yes,22,Taylor Swift,,Dancing,Nu Wij niet meer praten,Pommelien Thijsen en Jaap Reesema,,Sad,Best song ever,One Direction,,Happy,Grijs,Jaap Reesema,,Sad,Volare,Gipsy Kings,,Dancing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Float,Olivia Dean,,Calm,Trouble,Laufey,,Soft,Call your mom,Noah Kahan,,,Exhale,Sabrina Carpenter,,Lyrics have a deep meaning,Prom dress,Mxmtoon,,,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Extremely easy,Yes,Maine ,Noah Kahan,,,Don't worry be happy,Bobby Mcferin,,,My love mine all mine,Mitski,,,Title,Meghan Trainor,,,All about that bass,Meghan Trainor,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Runaway,Aurora,,,Exhale,Sabrina Carpenter,,,Second Best,Laufey,,,Don't be so hard on yourself ,Jess Glynne,,,2 days into college,Aimee Carty,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Extremely difficult,
33,1875,2025-09-22 11:41:48,R_8hYa7SIXp5JaIx2,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,25,Female,,Italy,"English, Dutch, Sranang tongo",Most of the time,Moderately stressful,"Listen to music,Consume food and/or non-alcoholic beverages",,Always,Mainly or exclusively self-selected,"What helps is hearing someone express their frustration about the same situation I am in too in a song. I look up my situation on Spotify or Youtube, for example 'Burnout,' and listen to the selected songs.",Yes,The anonymous ones,Amandla Stenberg,https://youtu.be/FTPUZ-H8Qa0?si=dYdN6s-JphsNaBnK,Tells you how others also go through the same thing as you,High hopes,Panic! At The Disco,,Uplifting/motivational,,,,,,,,,,,,,No,Yes,,,,Yes,Yes,,,,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Price of Perfection ,Katherine Lynn-Rose,https://youtu.be/rTsqIdQHr3g?si=t4cFSfAFjWgavRYY,"Sung with a lot of frustration, anger and sarcasm.",Let me make you proud,Varian,https://youtu.be/fPH_wwEvAkI?si=HRXON9SYkv1xn1iT,,,,,,,,,,,,,,Yes,No,,,,Yes,Yes,,,,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,PMA,All Time Low,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Extremely easy,Yes,Breathe,Leslie Grace ,https://youtu.be/5l9UK3yQTfA?si=tOgOUvgFPDJymhaZ,Some parts sound like they are adressing me,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Extremely easy,Yes,Top of My School,Katherine Lynn-Rose,https://youtu.be/ZNuMyMCLQo4?si=-iVOWRjDU7N3EFMH,,Litte Miss Perfect,Taylor Louderman,https://youtu.be/VhZIikh-z7g?si=7RjnuY4lRfXrBsGN,,Breathe,Leslie Grace,,,PMA,All Time Low,https://youtu.be/nUoz6HaFg88?si=ft_TvE_JGYw3PkJs,,Down to nothing,Siddhartha Menon,https://youtu.be/NWmtCgTfOgc?si=rqnjDzjDyrIR_CCE,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely easy,
34,1904,2025-09-22 11:49:15,R_8cbeXQem84K93QF,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,19,Male,,The Netherlands,"English, Dutch",Rarely,Slightly stressful,"Talk to someone,Listen to music,Use social media,Sleep / Nap,Consume food and/or non-alcoholic beverages,Use substances (incl. alcohol)",,Sometimes,Mainly or exclusively self-selected,It occupies your mind with something else,Yes,Uncle Ace,Blood Orange,,The instrumentals in the outro just tickles my brain in the right way,stick of gum,nemahsis,,,The Spins,Mac Miller,,Personal connection to the song,Floating Parade,Michael Kiwanuka,,The groove in the verse makes me happy ,Garden of Eden,Rachel Chinouriri,,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Neither easy nor difficult,Yes,Striptease,FKA twigs,,,Big Brown Eyes,Lola Young,,,Charge It,ENNY,,,Hands Up,Blood Orange,,,,,,,Yes,No,Yes,Yes,,No,No,Yes,Yes,,Somewhat difficult,Yes,Earth Sign,Brittany Howard,,The instrumentals are just  exhilarating,Hammer,Lorde,,The instrumentals part is just sounds just so right,Introvert,Little Simz,,,Black Mirror,Noname,,,Should Have Known Better,Sufjan Stevens,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Endless,Oklou,,,Hamptons,The Marías,,,Zondagskind,S10,,,Un Monde Nouveau,Feu! Chatterton,,,U Shld Heal,ENNY,,,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Extremely easy,Yes,Feel Alive,Aquilo,,,Estas são as últimas canções que escrevo sobre ti ,Iolanda,,,Pearls,Sade,,,The Grants,Lana Del Rey,,,Anything,Adrienne Lenker,,,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
