,song_name,artist,url,track_id,description,listen_in_non_stress_regulating_setting,lyrics_is_a_important_part,response_id,strategy
165,Gnarly,KATSEYE,https://open.spotify.com/track/1j15Ar0qGDzIR0v3CQv3JL,1j15Ar0qGDzIR0v3CQv3JL,,,,R_8pJG7O16rICvdio,revival
231,Hollywood Dream,Ayesha Erotica,https://open.spotify.com/track/1jiLnzyX6pzVzIhTkUcSwj,1jiLnzyX6pzVzIhTkUcSwj,It gives me this rush and cunty vibes that shake off the stress,Yes,Yes,R_2zZwYOsilY4jRsz,mental_work
433,Hamptons,The Marías,https://open.spotify.com/track/1jlBePA3tcycCoANSSZbgj,1jlBePA3tcycCoANSSZbgj,,Yes,No,R_8cbeXQem84K93QF,diversion
139,Contaminado,La femme,https://open.spotify.com/track/1jzAG6RmGFw86Il8BWXRKG,1jzAG6RmGFw86Il8BWXRKG,,Yes,No,R_8R3gfGieaM6y5GE,diversion
232,Shake it off,Taylor Swift,https://open.spotify.com/track/1kKlhuQE0HXp1IwBRpaH2P,1kKlhuQE0HXp1IwBRpaH2P,"On one hand, the song is upbeat and immediately get me up and going. On the other, I have heard it live at the eras tour and ever since then, I cannot hear this song without having an overwhelming sense of joy.",Yes,Yes,R_2HRoAD9L1WNTCiF,revival
186,Ring Ring Ring,"Tyler, The Creator",https://open.spotify.com/track/1lTqq0aC6r2bXLviQ3oaVt,1lTqq0aC6r2bXLviQ3oaVt,Tyler in general is very energetic,Yes,No,R_2LXRHlBulGggcW0,revival
263,Guess It's Wrecked,Moin,https://open.spotify.com/track/1m8hRVS4d1naBsHNZDKV33,1m8hRVS4d1naBsHNZDKV33,"Acceptance of feelings, past decisions",Yes,Yes,R_2oS0VRFGHi3daXX,solace
470,Insane in the Brain,Cypress Hill,https://open.spotify.com/track/1oTHteQbmJw15rPxPVXUTv,1oTHteQbmJw15rPxPVXUTv,"Silly hiphop song, I vibe with it tho",Yes,Yes,R_2p9wWWpkx5peG4N,diversion
21,The anonymous ones,Amandla Stenberg,https://open.spotify.com/track/1ouS2oUJOnxH9TaQxpNpUO,1ouS2oUJOnxH9TaQxpNpUO,Tells you how others also go through the same thing as you,No,Yes,R_8hYa7SIXp5JaIx2,entertainment
646,complex (demo),Katie Gregson-MacLeod,https://open.spotify.com/track/1ovZe7upcqycTuPFfOg6kB,1ovZe7upcqycTuPFfOg6kB,,Yes,,R_2HOcWQ0Ao3rvWQl,mental_work
367,Suds & Soda,dEUS,https://open.spotify.com/track/1pB3Ev17XfALe8GEDvv4nq,1pB3Ev17XfALe8GEDvv4nq,,Yes,No,R_21AmFBgPw7UHYaR,strong_sensation
211,風俗嬢のiPhone拾った,"4s4ki, Gokou Kuyt, maeshima soshi",https://open.spotify.com/track/1pUVPyw25ETIV15VzfedK5,1pUVPyw25ETIV15VzfedK5,,Yes,Yes,R_8eLKaSUgqXjGFkl,discharge
5,Everywhere ,Fleetwood Mac ,https://open.spotify.com/track/1prZ0pr6XoRCxcrC3MCL0M,1prZ0pr6XoRCxcrC3MCL0M,It’s me and my best friends song - so it just generally evokes a happy feeling because it reminds me of him ,Yes,Yes,R_2oEDEWFXn3Qfhnk,entertainment
339,Epiphany,Trent Reznor and Atticus Ross,https://open.spotify.com/track/1q1T0TbFO2fWkDmgCKwTB0,1q1T0TbFO2fWkDmgCKwTB0,,No,No,R_8l46mlZGFZsyKeB,strong_sensation
93,I don’t feel like dancing,Scissor Sisters,https://open.spotify.com/track/1q9l6c8bAzqWcvO3DM6FsR,1q9l6c8bAzqWcvO3DM6FsR,,Yes,No,R_2q7KRMeEj2Ki93e,entertainment
679,Altes Fieber ,Toten Hosen,https://open.spotify.com/track/1qPea3SGgcs2ODFweqK7hP,1qPea3SGgcs2ODFweqK7hP,,,,R_2VdoBUAa69ab0h6,mental_work
54,You Belong With Me,Taylor Swift,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA,1qrpoAMXodY6895hGKoUpA,,Yes,Yes,R_8TFOXwMwo2RtzTg,entertainment
794,Go Go Juice,Sabrina Carpenter,https://open.spotify.com/track/1qyw5wSUkEvH8DtaCdx7Lg,1qyw5wSUkEvH8DtaCdx7Lg,"As someone who sometimes turns to the battle to deal with stress, Go Go Juice makes me feel heard and supported in those difficult times.",Yes,Yes,R_2HRoAD9L1WNTCiF,solace
245,Enemy,Imagine Dragons ,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,1r9xUipOqoNwggBpENDsvJ,,,,R_2VdoBUAa69ab0h6,revival
194,Super Graphic Ultra Modern Girl,Chappell Roan,https://open.spotify.com/track/1rNSCrsOoWyhKH4g47mehU,1rNSCrsOoWyhKH4g47mehU,,,,R_8pJG7O16rICvdio,revival
315,Every Living Breathing Moment,Grant Steller,https://open.spotify.com/track/1rW2GymVri3jus11Y5ikhe,1rW2GymVri3jus11Y5ikhe,,Yes,There are no lyrics,R_8YnBr5pfVh9hzzu,strong_sensation
56,High hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1rqqCSm0Qe4I9rUvWncaom,Uplifting/motivational,Yes,Yes,R_8hYa7SIXp5JaIx2,entertainment
21,Dressed In Black,Sia,https://open.spotify.com/track/1ruNslbgoiZk8e1vP0lY6j,1ruNslbgoiZk8e1vP0lY6j,,Yes,Yes,R_2EnIdAMa8NYSXqV,strong_sensation
272,chinese satelite,phoebe bridgers,https://open.spotify.com/track/1scaOnahzG7o8pfwfsL784,1scaOnahzG7o8pfwfsL784,,Yes,Yes,R_8HY1QG4yHOHpN5L,solace
70,Like water ,Paisley pink,https://open.spotify.com/track/1tjz4gQDzzoS04FUQGrCNN,1tjz4gQDzzoS04FUQGrCNN,,,,R_8PbUFpCdBq8pYqu,revival
394,The Alchemy,Taylor swift,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ,1tuNqJOtRQVHvONR8Lg3MZ,,Yes,Yes,R_28Tf4yRm44ixc8J,diversion
81,vademecum skauta,lady punk,https://open.spotify.com/track/1uGqmg6bl4sAp1CQc2zF1j,1uGqmg6bl4sAp1CQc2zF1j,,Yes,Yes,R_20rEsSW9Ovvo74J,entertainment
61,Pocketful of Sunshine,Natasha Bedingfield,https://open.spotify.com/track/1uigwk5hNV84zRd5YQQRTk,1uigwk5hNV84zRd5YQQRTk,,Yes,Yes,R_8VqM9C6HA45xC9p,entertainment
738,Runaway,Aurora,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6,1v1oIWf2Xgh54kIWuKsDf6,,Yes,Yes,R_2HFaNp6YCRpC6NX,solace
157,bring da ruckus,wu tang clan,https://open.spotify.com/track/1v5cgIyffYtfEx0swttdoE,1v5cgIyffYtfEx0swttdoE,,Yes,Yes,R_837aAI9nePo1QDT,revival
391,Espresso,Sabrina Carpenter,https://open.spotify.com/track/1vLqigPHwiFnXsfrLMehV1,1vLqigPHwiFnXsfrLMehV1,,,,R_2966KcW8r5Hwja9,diversion
437,Missing - Todd Terry Remix,Everything But The Girl,https://open.spotify.com/track/1waLmkUyMq0M5ACmf5SG7q,1waLmkUyMq0M5ACmf5SG7q,,Yes,No,R_8VqM9C6HA45xC9p,diversion
714,„bathed in grey”,Them & I,https://open.spotify.com/track/1wolR3ygexMqWcqudrxe26,1wolR3ygexMqWcqudrxe26,My heartbeat slows down and I breath peacefully again when I listen to this one.,Yes,No,R_8EbOmTY4KpFTsDK,mental_work
387,Foolin',Def Leppard ,https://open.spotify.com/track/1wv8bYmoqY3TAKKQY3Qn7t,1wv8bYmoqY3TAKKQY3Qn7t,,Yes,Yes,R_263ifr5Fzi1g7g5,strong_sensation
552,The Smallest Man Who Ever Lived,Taylor Swift,https://open.spotify.com/track/1xtw1krCR6Dw2KwkXw5z63,1xtw1krCR6Dw2KwkXw5z63,,Yes,Yes,R_8TFOXwMwo2RtzTg,discharge
30,Wedding Song,Hadestown Original Broadway Company,https://open.spotify.com/track/1yy0XglPOI5E8NKbtGH3OO,1yy0XglPOI5E8NKbtGH3OO,,Yes,No,R_2VQ2AZgtTitN9SY,entertainment
254,western union,"ecco2k, thaiboy digital, bladee",https://open.spotify.com/track/1zX178V8sWozr96MrfmRun,1zX178V8sWozr96MrfmRun,,Yes,Yes,R_837aAI9nePo1QDT,revival
551,Lost with you,Patrick Watson,https://open.spotify.com/track/1zqxYmUku2McZZe7tXibAt,1zqxYmUku2McZZe7tXibAt,Also very calm,Yes,Yes,R_8l46mlZGFZsyKeB,discharge
571,U Should Not Be Doing That,Amyl and The Sniffers,https://open.spotify.com/track/20H3uanVBm4oOZ27yHco3Y,20H3uanVBm4oOZ27yHco3Y,The frustration in the lyrics is relatable,Yes,Yes,R_8EhUjQrkmBRTASs,discharge
185,take me out,franz ferdinand,https://open.spotify.com/track/20I8RduZC2PWMWTDCZuuAN,20I8RduZC2PWMWTDCZuuAN,,Yes,No,R_80YBLNTS9lnLPqc,discharge
102,Juno,Sabrina Carpenter,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS,21B4gaTWnTkuSh77iWEXdS,The song is so upbeat that just makes me get in a abetter mood automatically.,Yes,Yes,R_2HRoAD9L1WNTCiF,entertainment
46,Sójové rezne,medial Banana,https://open.spotify.com/track/21Fk97l7Y8edeLopuyyZCc,21Fk97l7Y8edeLopuyyZCc,It’s just a very funky song that is made by two Slovaks that smoke weed - so it’s just a vibe - also the song is filled with jokes,Yes,Yes,R_2oEDEWFXn3Qfhnk,entertainment
31,fogueira,Marina Froes,https://open.spotify.com/track/21TS6QtxgAvBgHGj06SpJ9,21TS6QtxgAvBgHGj06SpJ9,,Yes,Yes,R_8HY1QG4yHOHpN5L,entertainment
209,stupid horse,100 gecs,https://open.spotify.com/track/23Dapn8107GgxvXDIsPwWm,23Dapn8107GgxvXDIsPwWm,,Yes,Yes,R_2UcZTsu7Ha6wjkd,revival
694,Voyager,Kevin Abstract,https://open.spotify.com/track/23pPTbWfZqWq3gn1hRiJ7n,23pPTbWfZqWq3gn1hRiJ7n,,No,Yes,R_8EhUjQrkmBRTASs,mental_work
20,Everywhere,Fleetwood Mac,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq,254bXAqt3zP6P50BdQvEsq,,Yes,Yes,R_2zZwYOsilY4jRsz,entertainment
160,House Tour,Sabrina carpenter,https://open.spotify.com/track/25jgQBxuUkGDdCG1WGKKN9,25jgQBxuUkGDdCG1WGKKN9,,Yes,Yes,R_2xOG8RwWS4NZPnb,"[('diversion', 1), ('entertainment', 1)]"
51,House Tour,Sabrina Carpenter,https://open.spotify.com/track/25jgQBxuUkGDdCG1WGKKN9,25jgQBxuUkGDdCG1WGKKN9,,Yes,Yes,R_2xOG8RwWS4NZPnb,"[('diversion', 1), ('entertainment', 1)]"
236,How To Live,Del Water Gap,https://open.spotify.com/track/25ywKtUww26ABFd0tiGt9D,25ywKtUww26ABFd0tiGt9D,To feel my emotions instead of ignoring them,Yes,Yes,R_2HjY4EvYzUqMJtW,mental_work
167,Millshake,Kellis,https://open.spotify.com/track/26wpcLqBHEfOL00i1rdbun,26wpcLqBHEfOL00i1rdbun,Because it reminds me of the katseye dance which is very fun,Yes,No,R_8IaQBhL54AJZwWt,revival
22,Favourite,Fontaines D.C.,https://open.spotify.com/track/27w0RH5IDt6xU3B2j7QOuy,27w0RH5IDt6xU3B2j7QOuy,The melody is very nostalgic in a happy way,,Yes,R_2wNy3hFkKdHM4D0,entertainment
612,Tried and failed,Everyone says hi,https://open.spotify.com/track/28Ze3GqiuCyw6Dzfa5r9Ze,28Ze3GqiuCyw6Dzfa5r9Ze,,Yes,Yes,R_2tck6sPLJviBT1R,discharge
719,Father time,Kendrixk lamar,https://open.spotify.com/track/28qA8y1sz0FTuSapsCxNOG,28qA8y1sz0FTuSapsCxNOG,,,,R_8rid6Aiv4sOl6JB,mental_work
105,Quixoticelixer,Red Hot Chili Peppers,https://open.spotify.com/track/28w7CPWQCqQxt0YCzDN75b,28w7CPWQCqQxt0YCzDN75b,Nostalgic in a good way,Yes,Yes,R_2p9wWWpkx5peG4N,entertainment
197,Small Talk,Niall Horan,https://open.spotify.com/track/2928yIGFV4enculPwmmGSe,2928yIGFV4enculPwmmGSe,,Yes,Yes,R_8TFOXwMwo2RtzTg,revival
286,Bones Of Ours,Max Madly,https://open.spotify.com/track/2ATt4TX6uhF6oaLwPEF6si,2ATt4TX6uhF6oaLwPEF6si,,Yes,Yes,R_8YnBr5pfVh9hzzu,strong_sensation
321,Golden Brown,The Stranglers,https://open.spotify.com/track/2AX5E86cn9n2dgioZEjirI,2AX5E86cn9n2dgioZEjirI,I really like the calming instrumental ,Yes,Yes,R_2tck6sPLJviBT1R,strong_sensation
258,Mayonaka no Door/Stay with me ,Miki Matsubara,https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA,2BHj31ufdEqVK5CkYDp9mA,,Yes,Yes,R_2zZwYOsilY4jRsz,solace
174,r u kissing any1?,Joey Cash,https://open.spotify.com/track/2CQoxS48ebF715bzy1m6Je,2CQoxS48ebF715bzy1m6Je,,Yes,Yes,R_2zZwYOsilY4jRsz,diversion
497,U Shld Heal,ENNY,https://open.spotify.com/track/2CT7QmHAl3zSiZ2jJ2bGsl,2CT7QmHAl3zSiZ2jJ2bGsl,,Yes,No,R_8cbeXQem84K93QF,diversion
124,Száz forintnak…,MC Hawer feat. Tekknő,https://open.spotify.com/track/2CnY9adbssU9glgb1cdSnI,2CnY9adbssU9glgb1cdSnI,,,,R_8jQb1p8fPposCOe,entertainment
137,Mantra,Jennie,https://open.spotify.com/track/2CspwnypzT7rcWI9RfsoSb,2CspwnypzT7rcWI9RfsoSb,,,,R_8pJG7O16rICvdio,entertainment
296,Chop Suey,System of a Down,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,2DlHlPMa4M17kufBvI2lEN,,Yes,Yes,R_263ifr5Fzi1g7g5,strong_sensation
251,Reggatta de Blanc ,The Police,https://open.spotify.com/track/2EEp2vTGSRDSLHWUF80EZZ,2EEp2vTGSRDSLHWUF80EZZ,,Yes,There are no lyrics,R_263ifr5Fzi1g7g5,revival
614,Black Hole Sun,Soundgarden,https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD,2EoOZnxNgtmZaD8uUmz2nD,,,,R_8jQb1p8fPposCOe,discharge
455,English Love Affair ,5 Second of Summer,https://open.spotify.com/track/2Ep5yZhBqHfwg0Lj4BlNKb,2Ep5yZhBqHfwg0Lj4BlNKb,,Yes,Yes,R_8TFOXwMwo2RtzTg,diversion
294,Its okay not to be okay ,Only the poets,https://open.spotify.com/track/2EpumsgbMZCBxW9dk0Xr2D,2EpumsgbMZCBxW9dk0Xr2D,Strong lyrics,Yes,Yes,R_8G9joOmkzQ63Thf,strong_sensation
289,This I Love,Guns 'N Roses,https://open.spotify.com/track/2FEWcWHnDmGD6WSqpW4VYu,2FEWcWHnDmGD6WSqpW4VYu,,Yes,Yes,R_8VqM9C6HA45xC9p,strong_sensation
324,„I’m a Firefighter”,Cigarettes After Sex,https://open.spotify.com/track/2FW8dx8DPQjEBLOa3nIzNy,2FW8dx8DPQjEBLOa3nIzNy,I feel deeper when listening to this song.,Yes,No,R_8EbOmTY4KpFTsDK,strong_sensation
754,0$,Cameron Winter,https://open.spotify.com/track/2FZsOypXRoYIrGI6s8C3Zm,2FZsOypXRoYIrGI6s8C3Zm,Cameron’s a weird and stressed guy so listening to him makes me feel like I’m not the only weird and stressed person out there,Yes,Yes,R_8EhUjQrkmBRTASs,solace
600, Hijo de la luna,Karsu,https://open.spotify.com/track/2GaIwTTYyyG9gL4JQy6CPx,2GaIwTTYyyG9gL4JQy6CPx,,Yes,No,R_2TD9GoZ1onZyXu1,discharge
523,Labour,Paris Paloma,https://open.spotify.com/track/2Ggr9IfS70wYQacW8nZKPG,2Ggr9IfS70wYQacW8nZKPG,,No,Yes,R_8TFOXwMwo2RtzTg,"[('discharge', 1), ('strong_sensation', 1)]"
319,labour,Paris Paloma,https://open.spotify.com/track/2Ggr9IfS70wYQacW8nZKPG,2Ggr9IfS70wYQacW8nZKPG,,Yes,Yes,R_21AmFBgPw7UHYaR,"[('discharge', 1), ('strong_sensation', 1)]"
789,Gasoline,Halsey,https://open.spotify.com/track/2IO7yf562c1zLzpanal1DT,2IO7yf562c1zLzpanal1DT,,,,R_2VdoBUAa69ab0h6,solace
196,Love today,MIKA,https://open.spotify.com/track/2IxoxL1FHw0RxN5r6y5mjF,2IxoxL1FHw0RxN5r6y5mjF,,Yes,Yes,R_8l46mlZGFZsyKeB,revival
488,"Sally, when the wine runs out",ROLE MODEL,https://open.spotify.com/track/2J051fjLklkoPbzOoTAACZ,2J051fjLklkoPbzOoTAACZ,,,,R_2yvMha4rZC1Z6Ct,"[('diversion', 2)]"
148,"Sally, When The Wine Runs Out",ROLE MODEL,https://open.spotify.com/track/2J051fjLklkoPbzOoTAACZ,2J051fjLklkoPbzOoTAACZ,It makes me happier,Yes,Yes,R_2HjY4EvYzUqMJtW,"[('diversion', 2)]"
134,Dayvan Cowboy,Boards Of Canada,https://open.spotify.com/track/2J4lJMCuFCA0zlwFOjePD5,2J4lJMCuFCA0zlwFOjePD5,"The same reasoning as those above, although this is one of my all time favourite tracks,",Yes,There are no lyrics,R_2oS0VRFGHi3daXX,strong_sensation
516,Hard to Explain,The Strokes,https://open.spotify.com/track/2LMloFiV7DHpBhITOaBSam,2LMloFiV7DHpBhITOaBSam,,Yes,Yes,R_82G8YEIvepM1XoE,discharge
195,Have you ever seen the rain,Creedence Clearwater Revival ,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,2LawezPeJhN4AWuSB0GtAU,,,,R_8PbUFpCdBq8pYqu,discharge
67,Wish I Were Here,"From Next to Normal the musical , Alice Ripley etc ",https://open.spotify.com/track/2LylUmJRck8NIZWKrVAFwz,2LylUmJRck8NIZWKrVAFwz,Upbeat and good to sing along to,Yes,No,R_81gjW2Qe56Wo6Ye,revival
155,Jazz Cafe,East Frog,https://open.spotify.com/track/2MrffZEpsGbDoqTha96r5W,2MrffZEpsGbDoqTha96r5W,,Yes,No,R_2LXRHlBulGggcW0,revival
711,Feel,Robbie Williams,https://open.spotify.com/track/2Ms33RTRCT6gArrpcrPxmo,2Ms33RTRCT6gArrpcrPxmo,,,,R_2VdoBUAa69ab0h6,mental_work
548,Ribs,Lorde,https://open.spotify.com/track/2MvvoeRt8NcOXWESkxWn3g,2MvvoeRt8NcOXWESkxWn3g,,Yes,Yes,R_8pJG7O16rICvdio,discharge
40,Salamander,Will And The People,https://open.spotify.com/track/2NWffNCDkKJ4DxD14I66Mr,2NWffNCDkKJ4DxD14I66Mr,It reminds me of my boyfriend and that makes me happy,Yes,Yes,R_2HjY4EvYzUqMJtW,entertainment
687,Illicit Affairs,Taylor Swift,https://open.spotify.com/track/2NmsngXHeC1GQ9wWrzhOMf,2NmsngXHeC1GQ9wWrzhOMf,"This song is attached to a very emotionally stressful moment in my life and whenever I hear the lyrics I feel as though I achieve a personal climax in my moment of stress. Followed by the ending, I feel like I have this stress building up, released by the time I have hit the bridge, and then I have an opportunity to calm down in the last few seconds.",Yes,Yes,R_2HRoAD9L1WNTCiF,mental_work
253,"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 4, Dancing Scene. Arrival of Drosselmeyer",Pyotr Ilyich Tchaikovsky ,https://open.spotify.com/track/2NodH0sMaxRFSWePxkuutP,2NodH0sMaxRFSWePxkuutP,Amazing composition of this song is fascinating to me and i love to listen to it whenever my mind is working overtime ,Yes,There are no lyrics,R_2oEDEWFXn3Qfhnk,mental_work
189,Hard gaan,Reinier zonneveld,https://open.spotify.com/track/2NzV30hHV9nEk9xCzueyy9,2NzV30hHV9nEk9xCzueyy9,Wakes me up,Yes,There are no lyrics,R_8JhT8UqAoaImSVr,revival
469,Bigmouth strikes again,The smiths,https://open.spotify.com/track/2OErSh4oVVAUll0vHxdr6p,2OErSh4oVVAUll0vHxdr6p,Bit deeper in lyrics,Yes,Yes,R_8ZTYiKxXbBb081e,"[('diversion', 1), ('solace', 1)]"
779,Bigmouth strikes again,The Smiths,https://open.spotify.com/track/2OErSh4oVVAUll0vHxdr6p,2OErSh4oVVAUll0vHxdr6p,,Yes,Yes,R_2tck6sPLJviBT1R,"[('diversion', 1), ('solace', 1)]"
390,Marinade,Dope Lemon,https://open.spotify.com/track/2OFUamird9l49tMtwf8w3l,2OFUamird9l49tMtwf8w3l,The chill vibes make me distracted ,Yes,,R_2Lp20qjXqfa7pVi,diversion
77,Kerosene!,Yves Tumor,https://open.spotify.com/track/2OoKzfr7RB5o9cxHArUoIS,2OoKzfr7RB5o9cxHArUoIS,The strong vocals and guitar riffs give me a lot of energy that will take the place of stressful feelings,Yes,Yes,R_2wNy3hFkKdHM4D0,revival
4,Making Flippy Floppy,Talking Heads,https://open.spotify.com/track/2OsuNPRc9qt34UOatyrAlZ,2OsuNPRc9qt34UOatyrAlZ,,Yes,,R_8hGFpDjCoJ3Imuh,entertainment
628,Nobody,Mitski,https://open.spotify.com/track/2P5yIMu2DNeMXTyOANKS6k,2P5yIMu2DNeMXTyOANKS6k,,Yes,Yes,R_2q7KRMeEj2Ki93e,discharge
746,Come Over,Noah Kahan,https://open.spotify.com/track/2P8i4ibQlXovki9IIPPubS,2P8i4ibQlXovki9IIPPubS,,Yes,Yes,R_2VQ2AZgtTitN9SY,solace
79,I don't know you like I used to,mercury,https://open.spotify.com/track/2Pc89ZBdas5FqLAB3JOILo,2Pc89ZBdas5FqLAB3JOILo,,Yes,,R_2HOcWQ0Ao3rvWQl,entertainment
172,test drive,john powell,https://open.spotify.com/track/2QTDuJIGKUjR7E2Q6KupIh,2QTDuJIGKUjR7E2Q6KupIh,same thing,Yes,There are no lyrics,R_8HY1QG4yHOHpN5L,diversion
535,Whiskey in the Jar,Metallica,https://open.spotify.com/track/2R6UrJ8uWbSIiHWmvRQvN8,2R6UrJ8uWbSIiHWmvRQvN8,Just being able to scream the lyrics and not hear myself because of the instrumentals (true for all songs listed),,,R_8jQb1p8fPposCOe,discharge
119,Queen Bitch,David Bowie,https://open.spotify.com/track/2RDXq7AwoEpvrjsXe4zlUc,2RDXq7AwoEpvrjsXe4zlUc,,Yes,No,R_2q7KRMeEj2Ki93e,entertainment
86,Mr. Blue Sky,Electric Light Orchestra,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,2RlgNHKcydI9sayD2Df2xp,,Yes,Yes,R_2e9qeeiYw9MaePm,entertainment
737,The Subway,Chappel Roan,https://open.spotify.com/track/2SsY5k7UWFqgye3PUMG3Oq,2SsY5k7UWFqgye3PUMG3Oq,,Yes,Yes,R_8l46mlZGFZsyKeB,solace
43,this is the life,Amy Mcdonald,https://open.spotify.com/track/2T3jgoAMbBXiMMD8pSc6QL,2T3jgoAMbBXiMMD8pSc6QL,upbeat,Yes,Yes,R_8HY1QG4yHOHpN5L,entertainment
291,Sustukların Büyür İçinde,Gripin,https://open.spotify.com/track/2Tp1GzxP97lTJGU04YsvuZ,2Tp1GzxP97lTJGU04YsvuZ,,Yes,Yes,R_8PsV7EzuWKsJiKd,strong_sensation
49,Livin' Loose,George Clanton,https://open.spotify.com/track/2USTVgd20XRLMAhiYNklN8,2USTVgd20XRLMAhiYNklN8,Reminds me of surviving Covid (melancholic feeling) and seeing him live in Amsterdam last month which was amazing and full circle since I am a long time fan.,Yes,Yes,R_2oS0VRFGHi3daXX,entertainment
141,Satellite ,Lena,https://open.spotify.com/track/2UjNsh4ipNrmog6wdS2JVv,2UjNsh4ipNrmog6wdS2JVv,,,,R_2VdoBUAa69ab0h6,entertainment
16,samba do moço bonito,clara Valverde,https://open.spotify.com/track/2VLlnFtftRrjx17G1pD4sB,2VLlnFtftRrjx17G1pD4sB,same,Yes,Yes,R_8HY1QG4yHOHpN5L,entertainment
133,life you lead,niceboy ed,https://open.spotify.com/track/2WYxFmuGz6Wj2vXlgLuHke,2WYxFmuGz6Wj2vXlgLuHke,This song reminds me that everyone lives their own lives and you cannot change how they act and what they do.  ,No,Yes,R_2oEDEWFXn3Qfhnk,strong_sensation
244,Let It Happen,Tame Impala ,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed,2X485T9Z5Ly0xyaghN73ed,,Yes,Yes,R_8YnBr5pfVh9hzzu,"[('entertainment', 2), ('revival', 1)]"
45,Let it Happen,Tame Impala,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed,2X485T9Z5Ly0xyaghN73ed,,Yes,Yes,R_2zZwYOsilY4jRsz,"[('entertainment', 2), ('revival', 1)]"
6,Let It Happen,Tame Impala,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed,2X485T9Z5Ly0xyaghN73ed,,Yes,No,R_2EnIdAMa8NYSXqV,"[('entertainment', 2), ('revival', 1)]"
161,BABY BABY,Nourished By Time,https://open.spotify.com/track/2XNJpkPIlVGSdr38mhb2HJ,2XNJpkPIlVGSdr38mhb2HJ,,Yes,No,R_8EhUjQrkmBRTASs,revival
448,For Your Love,Chilly,https://open.spotify.com/track/2XUqXGx8hcxpfRc6VJOpS3,2XUqXGx8hcxpfRc6VJOpS3,"Long repetetive song, a mix of everything, distracting",Yes,No,R_2p9wWWpkx5peG4N,diversion
36,Birdsong ,Florence + the Machine,https://open.spotify.com/track/2Xr567J7MnzSP7x9T3CSmR,2Xr567J7MnzSP7x9T3CSmR,,Yes,No,R_81gjW2Qe56Wo6Ye,entertainment
29,Dirty laundry,"the army, the navy",https://open.spotify.com/track/2Xtkc0tsVpwdLcFZt5SQ97,2Xtkc0tsVpwdLcFZt5SQ97,,Yes,Yes,R_2xOG8RwWS4NZPnb,entertainment
223,Charge It,ENNY,https://open.spotify.com/track/2YIIDMcF9zWJ2xcFSA99lH,2YIIDMcF9zWJ2xcFSA99lH,,Yes,Yes,R_8cbeXQem84K93QF,revival
776,Dachlatte,nand,https://open.spotify.com/track/2YcszBSjgcmS5D0CoOVXhQ,2YcszBSjgcmS5D0CoOVXhQ,,,,R_2VdoBUAa69ab0h6,solace
486,„Say It Right”,Nelly Furtado,https://open.spotify.com/track/2aI21FnmY7TJVKeMaoQZ0t,2aI21FnmY7TJVKeMaoQZ0t,"Again, makes me too confident too worry",Yes,No,R_8EbOmTY4KpFTsDK,diversion
162,Glue,BICEP,https://open.spotify.com/track/2aJDlirz6v2a4HREki98cP,2aJDlirz6v2a4HREki98cP,,Yes,There are no lyrics,R_28Tf4yRm44ixc8J,revival
542,Coming of age ceremony,parkjiyoon,https://open.spotify.com/track/2adWXRegCboef5ZOjW3ffe,2adWXRegCboef5ZOjW3ffe,Very motivational for some reason,No,No,R_2LXRHlBulGggcW0,discharge
400,San Cristóbal,Mal Blum,https://open.spotify.com/track/2aoGGs10SIjwkknKeACT8u,2aoGGs10SIjwkknKeACT8u,,Yes,Yes,R_2e9qeeiYw9MaePm,diversion
369,All along the watchtower,The Jimi Hendrix experience,https://open.spotify.com/track/2aoo2jlRnM3A0NyLQqMN2f,2aoo2jlRnM3A0NyLQqMN2f,,Yes,No,R_2tck6sPLJviBT1R,strong_sensation
284,Price of Perfection ,Katherine Lynn-Rose,https://open.spotify.com/track/2bu6TFn64ASDFXocD9HQ38,2bu6TFn64ASDFXocD9HQ38,"Sung with a lot of frustration, anger and sarcasm.",Yes,Yes,R_8hYa7SIXp5JaIx2,strong_sensation
143,Instant Crush,Daft Punk,https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6,2cGxRwrMyEAp8dEbuZaVv6,,Yes,No,R_8VqM9C6HA45xC9p,entertainment
164,Move On Up,Curtis Mayfield,https://open.spotify.com/track/2cK7SJ2O3CqDRHeixvFKgh,2cK7SJ2O3CqDRHeixvFKgh,,Yes,Yes,R_82G8YEIvepM1XoE,revival
